id,Ranking,Drzava,Ime,Starost,Turnirji
197,197,USA,Michael Mmoh,18,17
198,198,SRB,Marko Tepavac,22,21
199,199,EGY,Mohamed Safwat,26,28
200,200,USA,Noah Rubin,20,19
201,201,CHN,Ze Zhang,26,24
202,202,SRB,Miljan Zekic,28,21
203,203,USA,Alexander Sarkissian,26,29
204,204,USA,Reilly Opelka,19,14
205,205,KAZ,Alexander Bublik,19,23
206,206,BEL,Yannik Reuter,25,28
207,207,ITA,Matteo Donati,21,26
208,208,JPN,Akira Santillan,19,32
209,209,ESP,Jordi Samper-Montana,26,30
210,210,GRE,Stefanos Tsitsipas,18,21
211,211,CHI,Christian Garin,20,21
212,212,FRA,Tristan Lamasine,23,23
213,213,ITA,Lorenzo Giustino,25,29
214,214,GER,Jeremy Jahn,26,24
215,215,CRO,Franko Skugor,29,19
216,216,USA,Mitchell Krueger,22,31
217,217,SLO,Blaz Kavcic,29,15
218,218,BRA,Andre Ghem,34,28
219,219,COL,Alejandro Gonzalez,27,26
220,220,BRA,Guilherme Clezar,24,25
221,221,AUS,Marinko Matosevic,31,18
222,222,AUS,Marc Polmans,19,22
223,223,KAZ,Dmitry Popko,20,29
224,224,SRB,Pedja Krstin,22,23
225,225,NOR,Casper Ruud,18,19
226,226,AUS,John-Patrick Smith,27,25
227,227,IND,Ramkumar Ramanathan,22,29
228,228,ITA,Riccardo Bellotti,25,29
229,229,KAZ,Andrey Golubev,29,21
230,230,JPN,Yuya Kibi,30,27
231,231,ISR,Amir Weintraub,30,32
232,232,GER,Daniel Masur,22,26
233,233,JPN,Yasutaka Uchiyama,24,23
234,234,SRB,Filip Krajinovic,24,14
235,235,RUS,Aslan Karatsev,23,23
236,236,ESP,Adrian Menendez-Maceiras,31,29
237,237,AUS,Christopher O&#39;Connell,22,24
238,238,SRB,Nikola Milojevic,21,26
239,239,CHI,Gonzalo Lama,23,19
240,240,DOM,Jose Hernandez-Fernandez,26,24
241,241,CAN,Frank Dancevic,32,24
